id,customer_id,assigned_to,file_number,docket_date,file_type,file_status,reference_dealer_id,reference_broker_id,created_at,updated_at,id_customer,city,state,pincode,customer_type,created_at_customer,id_finance,file_id,lan_number,loan_amount,no_of_months,emi_amount,bank_id,area,fc_sc_gst_amount,gap_interest,old_loan_amount,irr_percentage,ls_amount,disbursement_amount,rto_hold_amount,total_amount,company_bank_id,id_payment_in,file_id_payment_in,payment_amount,paid_amount,remaining_amount,round_up,payment_mode,payment_date,payment_from,cheque_bank_name,branch_name,cheque_amount,utr_no,company_bank_id_payment_in,id_payment_out,file_id_payment_out,amount,payment_mode_payment_out,payment_date_payment_out,payment_to,payee_dealer_id,payee_broker_id,bank_account_no,ifsc_code,cheque_bank_name_payment_out,branch_name_payment_out,cheque_amount_payment_out,utr_no_payment_out,company_bank_id_payment_out,status,id_advances,dealer_id,broker_id,advance_date,amount_advances,payment_mode_advances,utr_cheque_number,purpose,file_id_advances,recovery_status,amount_recovered,created_at_advances,updated_at_advances,deleted_at,ml_recommendation,customer_tenure_months,risk_score,loan_burden_score,advance_ratio,overdue_severity,recovery_percentage
40,4,205,FN-2025-00004,1701043200.0,Renewal,Sanctioned,518,608.0,1701093600.0,1701266400.0,4,Nagpur,Maharashtra,440001,business,1701007200.0,4,40,LAN526132,1500000,36,51829,1,Approved Area,15000,4197,100000,14.77,3232,1477571,0,1504197,1,11,40,51829,51829,0,0,UPI,1703635200.0,Other,Missing,Missing,0,UTRIN1989886,1,4,40,1477571,NEFT,1701475200.0,Broker,518,608,5162369515,BANK0005956,Missing,Missing,0,UTROUT9105115,1,pending,4,518,608.0,1702339200.0,50000,rtgs,ADV437807,Bridge financing for trade-in,40,Fully Recovered,50000,1699815600.0,1727809200.0,0.0,High Risk / Likely Rejected,30,5,0.03455266666666667,0.03333333333333333,0.0,100.0
40,4,205,FN-2025-00004,1701043200.0,Renewal,Sanctioned,518,608.0,1701093600.0,1701266400.0,4,Nagpur,Maharashtra,440001,business,1701007200.0,4,40,LAN526132,1500000,36,51829,1,Approved Area,15000,4197,100000,14.77,3232,1477571,0,1504197,1,12,40,51829,51829,0,0,UPI,1706227200.0,Customer,Missing,Missing,0,UTRIN7237794,1,4,40,1477571,NEFT,1701475200.0,Broker,518,608,5162369515,BANK0005956,Missing,Missing,0,UTROUT9105115,1,pending,4,518,608.0,1702339200.0,50000,rtgs,ADV437807,Bridge financing for trade-in,40,Fully Recovered,50000,1699815600.0,1727809200.0,0.0,High Risk / Likely Rejected,30,5,0.03455266666666667,0.03333333333333333,0.0,100.0
50,5,208,FN-2024-00005,1699056000.0,New Vehicle,Sanctioned,507,613.0,1698976800.0,1699668000.0,5,Bhopal,Madhya Pradesh,462001,individual,1698890400.0,5,50,LAN804282,1500000,60,33548,10,Approved Area,15000,1920,100000,12.24,1043,1482037,5000,1501920,3,13,50,33548,31798,1750,0,RTGS,1701561600.0,Insurer,Axis Bank,Main Branch,31798,Missing,3,5,50,1482037,Cheque,1699401600.0,Dealer,507,613,3467807099,BANK0004423,Missing,Missing,0,UTROUT4933890,3,completed,5,507,613.0,1672617600.0,150000,imps,ADV650880,RTO tax clearance advance,50,Partially Recovered,58581,1672700400.0,1672866000.0,0.0,High Risk / Likely Rejected,31,5,0.022365333333333334,0.1,0.05216406343150113,39.054
50,5,208,FN-2024-00005,1699056000.0,New Vehicle,Sanctioned,507,613.0,1698976800.0,1699668000.0,5,Bhopal,Madhya Pradesh,462001,individual,1698890400.0,5,50,LAN804282,1500000,60,33548,10,Approved Area,15000,1920,100000,12.24,1043,1482037,5000,1501920,3,14,50,33548,33548,0,0,Cash,1704153600.0,Other,Missing,Missing,0,Missing,3,5,50,1482037,Cheque,1699401600.0,Dealer,507,613,3467807099,BANK0004423,Missing,Missing,0,UTROUT4933890,3,completed,5,507,613.0,1672617600.0,150000,imps,ADV650880,RTO tax clearance advance,50,Partially Recovered,58581,1672700400.0,1672866000.0,0.0,High Risk / Likely Rejected,31,5,0.022365333333333334,0.1,0.0,39.054
60,6,206,FN-2024-00006,1677628800.0,Renewal,Sanctioned,510,605.0,1677355200.0,1677528000.0,6,Nagpur,Maharashtra,440001,individual,1677268800.0,6,60,LAN928865,800000,72,16493,13,Approved Area,8000,1988,0,14.02,4906,785106,10000,801988,2,15,60,16493,16493,0,0,UPI,1679875200.0,Customer,Axis Bank,Main Branch,16493,Missing,2,6,60,785106,DD,1677715200.0,Broker,510,605,7141796260,BANK0002560,Missing,Missing,0,UTROUT7005713,2,pending,6,510,605.0,1701561600.0,50000,neft,ADV968367,Dealer commission advance,60,Fully Recovered,50000,1699038000.0,1696446000.0,0.0,Needs Manual Review,40,2,0.02061625,0.0625,0.0,100.0
60,6,206,FN-2024-00006,1677628800.0,Renewal,Sanctioned,510,605.0,1677355200.0,1677528000.0,6,Nagpur,Maharashtra,440001,individual,1677268800.0,6,60,LAN928865,800000,72,16493,13,Approved Area,8000,1988,0,14.02,4906,785106,10000,801988,2,16,60,16493,16493,0,0,Cash,1682467200.0,Other,Missing,Missing,0,Missing,2,6,60,785106,DD,1677715200.0,Broker,510,605,7141796260,BANK0002560,Missing,Missing,0,UTROUT7005713,2,pending,6,510,605.0,1701561600.0,50000,neft,ADV968367,Dealer commission advance,60,Fully Recovered,50000,1699038000.0,1696446000.0,0.0,Needs Manual Review,40,2,0.02061625,0.0625,0.0,100.0
70,7,204,FN-2025-00007,1694304000.0,New Vehicle,Under Process,520,613.0,1694052000.0,1694224800.0,7,Jaipur,Rajasthan,302001,business,1693965600.0,7,70,LAN621282,1500000,36,50202,1,Central Area,15000,3300,100000,12.53,695,1481005,10000,1503300,1,17,70,50202,50202,0,0,RTGS,1696636800.0,Insurer,Missing,Missing,0,UTRIN1893220,1,7,70,1481005,DD,1694476800.0,Other,520,613,6007627600,BANK0008655,Punjab National Bank,Corporate Branch,1481005,Missing,1,pending,7,520,613.0,1672617600.0,80000,upi,ADV511366,Dealer commission advance,70,Fully Recovered,80000,1672700400.0,1672866000.0,0.0,High Risk / Likely Rejected,33,5,0.033468,0.05333333333333334,0.0,100.0
70,7,204,FN-2025-00007,1694304000.0,New Vehicle,Under Process,520,613.0,1694052000.0,1694224800.0,7,Jaipur,Rajasthan,302001,business,1693965600.0,7,70,LAN621282,1500000,36,50202,1,Central Area,15000,3300,100000,12.53,695,1481005,10000,1503300,1,18,70,50202,50202,0,0,DD,1699228800.0,Other,HDFC Bank,Main Branch,50202,Missing,1,7,70,1481005,DD,1694476800.0,Other,520,613,6007627600,BANK0008655,Punjab National Bank,Corporate Branch,1481005,Missing,1,pending,7,520,613.0,1672617600.0,80000,upi,ADV511366,Dealer commission advance,70,Fully Recovered,80000,1672700400.0,1672866000.0,0.0,High Risk / Likely Rejected,33,5,0.033468,0.05333333333333334,0.0,100.0
70,7,204,FN-2025-00007,1694304000.0,New Vehicle,Under Process,520,613.0,1694052000.0,1694224800.0,7,Jaipur,Rajasthan,302001,business,1693965600.0,7,70,LAN621282,1500000,36,50202,1,Central Area,15000,3300,100000,12.53,695,1481005,10000,1503300,1,19,70,50202,50202,0,0,Cash,1701820800.0,Insurer,Missing,Missing,0,UTRIN2189171,1,7,70,1481005,DD,1694476800.0,Other,520,613,6007627600,BANK0008655,Punjab National Bank,Corporate Branch,1481005,Missing,1,pending,7,520,613.0,1672617600.0,80000,upi,ADV511366,Dealer commission advance,70,Fully Recovered,80000,1672700400.0,1672866000.0,0.0,High Risk / Likely Rejected,33,5,0.033468,0.05333333333333334,0.0,100.0
80,8,207,FN-2024-00008,1695600000.0,Used Vehicle,Login,505,604.0,1695477600.0,1695823200.0,8,Indore,Madhya Pradesh,452001,business,1695391200.0,8,80,LAN910463,300000,36,9977,7,Central Area,3000,3663,0,12.09,2797,290540,5000,303663,3,20,80,9977,114,9863,0,UPI,1698019200.0,Insurer,Missing,Missing,0,UTRIN1246723,3,8,80,290540,NEFT,1695859200.0,Dealer,505,604,7155937965,BANK0001939,Bank of Baroda,Corporate Branch,290540,Missing,3,pending,8,505,604.0,1691625600.0,100000,upi,ADV195049,RTO tax clearance advance,80,Not Recovered,0,1689026400.0,1686520800.0,0.0,Likely Approved,33,2,0.033256666666666664,0.3333333333333333,0.9885737195549764,0.0
80,8,207,FN-2024-00008,1695600000.0,Used Vehicle,Login,505,604.0,1695477600.0,1695823200.0,8,Indore,Madhya Pradesh,452001,business,1695391200.0,8,80,LAN910463,300000,36,9977,7,Central Area,3000,3663,0,12.09,2797,290540,5000,303663,3,21,80,9977,0,9977,0,UPI,1700611200.0,Other,Missing,Missing,0,UTRIN5302109,3,8,80,290540,NEFT,1695859200.0,Dealer,505,604,7155937965,BANK0001939,Bank of Baroda,Corporate Branch,290540,Missing,3,pending,8,505,604.0,1691625600.0,100000,upi,ADV195049,RTO tax clearance advance,80,Not Recovered,0,1689026400.0,1686520800.0,0.0,Likely Approved,33,2,0.033256666666666664,0.3333333333333333,1.0,0.0
80,8,207,FN-2024-00008,1695600000.0,Used Vehicle,Login,505,604.0,1695477600.0,1695823200.0,8,Indore,Madhya Pradesh,452001,business,1695391200.0,8,80,LAN910463,300000,36,9977,7,Central Area,3000,3663,0,12.09,2797,290540,5000,303663,3,22,80,9977,4268,5709,0,RTGS,1703203200.0,Other,Missing,Missing,0,UTRIN6238826,3,8,80,290540,NEFT,1695859200.0,Dealer,505,604,7155937965,BANK0001939,Bank of Baroda,Corporate Branch,290540,Missing,3,pending,8,505,604.0,1691625600.0,100000,upi,ADV195049,RTO tax clearance advance,80,Not Recovered,0,1689026400.0,1686520800.0,0.0,Likely Approved,33,2,0.033256666666666664,0.3333333333333333,0.5722160970231532,0.0
90,9,215,FN-2025-00009,1696550400.0,New Vehicle,Completed,501,617.0,1696478400.0,1696996800.0,9,Rajkot,Gujarat,360001,business,1696392000.0,9,90,LAN734698,500000,60,12143,14,Approved Area,5000,3094,100000,15.94,3995,487911,5000,503094,3,23,90,12143,12143,0,0,Cash,1699056000.0,Other,Missing,Missing,0,UTRIN5916321,3,9,90,487911,Cash,1696896000.0,Dealer,501,617,8663887985,BANK0009639,Bank of Baroda,Corporate Branch,487911,Missing,3,pending,9,501,617.0,1672617600.0,20000,neft,ADV608950,Emergency inventory pooling,90,Fully Recovered,20000,1672700400.0,1672866000.0,0.0,Likely Approved,32,1,0.024286,0.04,0.0,100.0
90,9,215,FN-2025-00009,1696550400.0,New Vehicle,Completed,501,617.0,1696478400.0,1696996800.0,9,Rajkot,Gujarat,360001,business,1696392000.0,9,90,LAN734698,500000,60,12143,14,Approved Area,5000,3094,100000,15.94,3995,487911,5000,503094,3,24,90,12143,12143,0,0,DD,1701648000.0,Other,Missing,Missing,0,Missing,3,9,90,487911,Cash,1696896000.0,Dealer,501,617,8663887985,BANK0009639,Bank of Baroda,Corporate Branch,487911,Missing,3,pending,9,501,617.0,1672617600.0,20000,neft,ADV608950,Emergency inventory pooling,90,Fully Recovered,20000,1672700400.0,1672866000.0,0.0,Likely Approved,32,1,0.024286,0.04,0.0,100.0
90,9,215,FN-2025-00009,1696550400.0,New Vehicle,Completed,501,617.0,1696478400.0,1696996800.0,9,Rajkot,Gujarat,360001,business,1696392000.0,9,90,LAN734698,500000,60,12143,14,Approved Area,5000,3094,100000,15.94,3995,487911,5000,503094,3,25,90,12143,12143,0,0,NEFT,1704240000.0,Customer,Missing,Missing,0,UTRIN9756078,3,9,90,487911,Cash,1696896000.0,Dealer,501,617,8663887985,BANK0009639,Bank of Baroda,Corporate Branch,487911,Missing,3,pending,9,501,617.0,1672617600.0,20000,neft,ADV608950,Emergency inventory pooling,90,Fully Recovered,20000,1672700400.0,1672866000.0,0.0,Likely Approved,32,1,0.024286,0.04,0.0,100.0
90,9,215,FN-2025-00009,1696550400.0,New Vehicle,Completed,501,617.0,1696478400.0,1696996800.0,9,Rajkot,Gujarat,360001,business,1696392000.0,9,90,LAN734698,500000,60,12143,14,Approved Area,5000,3094,100000,15.94,3995,487911,5000,503094,3,26,90,12143,12143,0,0,DD,1706832000.0,Other,Missing,Missing,0,UTRIN4579226,3,9,90,487911,Cash,1696896000.0,Dealer,501,617,8663887985,BANK0009639,Bank of Baroda,Corporate Branch,487911,Missing,3,pending,9,501,617.0,1672617600.0,20000,neft,ADV608950,Emergency inventory pooling,90,Fully Recovered,20000,1672700400.0,1672866000.0,0.0,Likely Approved,32,1,0.024286,0.04,0.0,100.0
100,10,202,FN-2026-00010,1683590400.0,Used Vehicle,Draft,514,611.0,1683612000.0,1684389600.0,10,Indore,Madhya Pradesh,452001,individual,1683525600.0,10,100,LAN718199,1500000,48,40085,2,Pending Area,15000,4994,0,12.79,2805,1477201,10000,1504994,3,27,100,40085,40085,0,0,DD,1686182400.0,Bank,Bank of Baroda,Main Branch,40085,Missing,3,10,100,1477201,UPI,1684022400.0,Dealer,514,0,8704031915,BANK0003211,Axis Bank,Corporate Branch,1477201,Missing,3,pending,10,514,611.0,1672617600.0,100000,cash,ADV245578,Dealer commission advance,100,Partially Recovered,31057,1672700400.0,1672866000.0,0.0,High Risk / Likely Rejected,37,4,0.026723333333333335,0.06666666666666667,0.0,31.057000000000002
100,10,202,FN-2026-00010,1683590400.0,Used Vehicle,Draft,514,611.0,1683612000.0,1684389600.0,10,Indore,Madhya Pradesh,452001,individual,1683525600.0,10,100,LAN718199,1500000,48,40085,2,Pending Area,15000,4994,0,12.79,2805,1477201,10000,1504994,3,28,100,40085,40085,0,0,Cash,1688774400.0,Other,Missing,Missing,0,UTRIN2938893,3,10,100,1477201,UPI,1684022400.0,Dealer,514,0,8704031915,BANK0003211,Axis Bank,Corporate Branch,1477201,Missing,3,pending,10,514,611.0,1672617600.0,100000,cash,ADV245578,Dealer commission advance,100,Partially Recovered,31057,1672700400.0,1672866000.0,0.0,High Risk / Likely Rejected,37,4,0.026723333333333335,0.06666666666666667,0.0,31.057000000000002
100,10,202,FN-2026-00010,1683590400.0,Used Vehicle,Draft,514,611.0,1683612000.0,1684389600.0,10,Indore,Madhya Pradesh,452001,individual,1683525600.0,10,100,LAN718199,1500000,48,40085,2,Pending Area,15000,4994,0,12.79,2805,1477201,10000,1504994,3,29,100,40085,37392,2693,0,DD,1691366400.0,Bank,Missing,Missing,0,Missing,3,10,100,1477201,UPI,1684022400.0,Dealer,514,0,8704031915,BANK0003211,Axis Bank,Corporate Branch,1477201,Missing,3,pending,10,514,611.0,1672617600.0,100000,cash,ADV245578,Dealer commission advance,100,Partially Recovered,31057,1672700400.0,1672866000.0,0.0,High Risk / Likely Rejected,37,4,0.026723333333333335,0.06666666666666667,0.06718223774479232,31.057000000000002
110,11,209,FN-2025-00011,1682035200.0,Used Vehicle,Login,509,602.0,1682078400.0,1682683200.0,11,Mumbai,Maharashtra,400001,business,1681992000.0,11,110,LAN746307,800000,36,26289,5,Approved Area,8000,4582,0,11.26,2367,785051,10000,804582,3,30,110,26289,26289,0,0,UPI,1684627200.0,Other,Missing,Missing,0,Missing,3,11,110,785051,RTGS,1682467200.0,Broker,509,602,7476447244,BANK0007519,Missing,Missing,0,UTROUT9090896,3,pending,11,509,602.0,1685923200.0,20000,imps,ADV586550,Insurance premium advance,110,Fully Recovered,20000,1683324000.0,1680818400.0,0.0,Needs Manual Review,38,2,0.03286125,0.025,0.0,100.0
110,11,209,FN-2025-00011,1682035200.0,Used Vehicle,Login,509,602.0,1682078400.0,1682683200.0,11,Mumbai,Maharashtra,400001,business,1681992000.0,11,110,LAN746307,800000,36,26289,5,Approved Area,8000,4582,0,11.26,2367,785051,10000,804582,3,31,110,26289,26289,0,0,Cash,1687219200.0,Customer,Axis Bank,Main Branch,26289,Missing,3,11,110,785051,RTGS,1682467200.0,Broker,509,602,7476447244,BANK0007519,Missing,Missing,0,UTROUT9090896,3,pending,11,509,602.0,1685923200.0,20000,imps,ADV586550,Insurance premium advance,110,Fully Recovered,20000,1683324000.0,1680818400.0,0.0,Needs Manual Review,38,2,0.03286125,0.025,0.0,100.0
120,12,205,FN-2024-00012,1696291200.0,New Vehicle,Sanctioned,520,611.0,1696050000.0,1696741200.0,12,Jodhpur,Rajasthan,342001,business,1695963600.0,12,120,LAN338909,1500000,60,36469,6,Rejected Area,15000,3318,100000,15.99,1566,1480116,5000,1503318,2,32,120,36469,0,36469,0,Cash,1698624000.0,Insurer,Missing,Missing,0,UTRIN2386510,2,12,120,1480116,Cash,1696464000.0,Customer,520,0,4345430084,BANK0006937,Missing,Missing,0,UTROUT6119459,2,completed,12,520,611.0,1672617600.0,50000,rtgs,ADV476630,Bridge financing for trade-in,120,Not Recovered,0,1672700400.0,1672866000.0,0.0,High Risk / Likely Rejected,32,8,0.024312666666666666,0.03333333333333333,1.0,0.0
120,12,205,FN-2024-00012,1696291200.0,New Vehicle,Sanctioned,520,611.0,1696050000.0,1696741200.0,12,Jodhpur,Rajasthan,342001,business,1695963600.0,12,120,LAN338909,1500000,60,36469,6,Rejected Area,15000,3318,100000,15.99,1566,1480116,5000,1503318,2,33,120,36469,24483,11986,0,UPI,1701216000.0,Bank,Missing,Missing,0,Missing,2,12,120,1480116,Cash,1696464000.0,Customer,520,0,4345430084,BANK0006937,Missing,Missing,0,UTROUT6119459,2,completed,12,520,611.0,1672617600.0,50000,rtgs,ADV476630,Bridge financing for trade-in,120,Not Recovered,0,1672700400.0,1672866000.0,0.0,High Risk / Likely Rejected,32,8,0.024312666666666666,0.03333333333333333,0.32866269982725055,0.0
120,12,205,FN-2024-00012,1696291200.0,New Vehicle,Sanctioned,520,611.0,1696050000.0,1696741200.0,12,Jodhpur,Rajasthan,342001,business,1695963600.0,12,120,LAN338909,1500000,60,36469,6,Rejected Area,15000,3318,100000,15.99,1566,1480116,5000,1503318,2,34,120,36469,0,36469,0,NEFT,1703808000.0,Customer,Missing,Missing,0,UTRIN1595954,2,12,120,1480116,Cash,1696464000.0,Customer,520,0,4345430084,BANK0006937,Missing,Missing,0,UTROUT6119459,2,completed,12,520,611.0,1672617600.0,50000,rtgs,ADV476630,Bridge financing for trade-in,120,Not Recovered,0,1672700400.0,1672866000.0,0.0,High Risk / Likely Rejected,32,8,0.024312666666666666,0.03333333333333333,1.0,0.0
130,13,207,FN-2024-00013,1684281600.0,Used Vehicle,Under Process,504,611.0,1684324800.0,1684411200.0,13,Surat,Gujarat,395003,individual,1684238400.0,13,130,LAN301165,1200000,60,27377,7,Central Area,12000,3448,0,13.12,3472,1181080,10000,1203448,3,35,130,27377,27377,0,0,RTGS,1686873600.0,Insurer,Missing,Missing,0,UTRIN3579145,3,13,130,1181080,Cheque,1684713600.0,Dealer,504,0,2603019928,BANK0007419,Missing,Missing,0,UTROUT3831541,3,completed,13,504,611.0,1672963200.0,50000,imps,ADV284646,RTO tax clearance advance,130,Not Recovered,0,1672700400.0,1672866000.0,0.0,Needs Manual Review,37,4,0.022814166666666667,0.041666666666666664,0.0,0.0
130,13,207,FN-2024-00013,1684281600.0,Used Vehicle,Under Process,504,611.0,1684324800.0,1684411200.0,13,Surat,Gujarat,395003,individual,1684238400.0,13,130,LAN301165,1200000,60,27377,7,Central Area,12000,3448,0,13.12,3472,1181080,10000,1203448,3,36,130,27377,27377,0,0,RTGS,1689465600.0,Other,Missing,Missing,0,UTRIN7765944,3,13,130,1181080,Cheque,1684713600.0,Dealer,504,0,2603019928,BANK0007419,Missing,Missing,0,UTROUT3831541,3,completed,13,504,611.0,1672963200.0,50000,imps,ADV284646,RTO tax clearance advance,130,Not Recovered,0,1672700400.0,1672866000.0,0.0,Needs Manual Review,37,4,0.022814166666666667,0.041666666666666664,0.0,0.0
